,Hotel_name,Rating,Coordinates,Description,Link,City
0,Best Western Hôtel Le Paradou Avignon Sud.,"7,9","43.90489250,4.89553034","[""Situé dans un parc à Avignon Sud-Montfavet, le Best Western Hôtel Le Paradou Avignon Sud. propose une connexion Wi-Fi gratuite disponible dans l'ensemble de l'établissement. Vous séjournerez à 15 minutes en voiture du centre-ville d'Avignon."", ""Offrant une vue sur la piscine ou le jardin, les chambres insonorisées et climatisées possèdent une télévision par câble. Leur salle de bains privative est pourvue d'une baignoire, d'articles de toilette mis gracieusement à votre disposition et d'un sèche-cheveux."", ""L'hôtel comporte un restaurant préparant des plats provençaux variés et un bar."", ""La région est appréciée pour le golf. L'aéroport d'Avignon-Provence est installé à proximité. Vous bénéficierez gratuitement d'un parking privé sur place. "", '\n', '\nChaîne hôtelière/marque:\nBest Western\n']",<200 https://www.booking.com/hotel/fr/paradouavignon.fr.html?label=gen173nr-1FCAMoTUIHYXZpZ25vbkgNWARoFYgBAZgBDbgBGMgBDNgBAegBAfgBAogCAagCBLgC16aNlAbAAgHSAiRlMTQxMjQzMi02NWNmLTQ2NGYtOWNlNS04Mjc0ZDg2ZjJlNjHYAgXgAgE&sid=ef4c1fc0086d64b80e070d87330090f5>,0
1,Hotel Restaurant la Ferme,"8,5","43.97548368,4.82743710","[""Vous pouvez bénéficier d'une réduction Genius dans l'établissement Hotel Restaurant la Ferme\xa0! "", ' pour économiser.', ""Situé sur l'île de la Barthelasse, l'Hotel Restaurant la Ferme dispose d'une piscine extérieure ainsi que de 22 chambres climatisées et entièrement équipées. Il se trouve à 4 km du centre-ville d'Avignon ainsi qu'à 15 minutes en voiture des remparts et du palais des Papes d'Avignon."", ""Présentant une décoration de style provençal, les chambres sont pourvues d'une télévision et d'une connexion Wi-Fi gratuite. Leur salle de bains privative est dotée d'articles de toilette gratuits et d'un sèche-cheveux."", ""Le restaurant s’ouvre sur une terrasse ombragée plantée d'arbres centenaires et d'une grande glycine."", ""L'Hotel Restaurant la Ferme vous fera profiter d'un parking sécurisé gratuit sur place et d'un service de location de vélos. Villeneuve-lès-Avignon est à 5 km. Le pont du Gard est à 30 km de l'hôtel. La gare d'Avignon est idéalement localisée à 10 minutes en voiture. Le parc des expositions est à 16 km. "", ""\nLes couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de "", ' pour un séjour à deux.\n', '\n', '\nChaîne hôtelière/marque:\nLogis Hôtels\n']",<200 https://www.booking.com/hotel/fr/logis-de-france-la-ferme.fr.html?label=gen173nr-1FCAMoTUIHYXZpZ25vbkgNWARoFYgBAZgBDbgBGMgBDNgBAegBAfgBAogCAagCBLgC16aNlAbAAgHSAiRlMTQxMjQzMi02NWNmLTQ2NGYtOWNlNS04Mjc0ZDg2ZjJlNjHYAgXgAgE&sid=ef4c1fc0086d64b80e070d87330090f5>,0
2,Hotel Boquier,"8,6","43.94469660,4.80499312","[""Vous pouvez bénéficier d'une réduction Genius dans l'établissement Hotel Boquier\xa0! "", ' pour économiser.', ""L'Hôtel Boquier est situé dans le centre-ville d'Avignon, à 800 mètres du Palais des Papes."", ""Chaque chambre climatisée de cet hôtel dispose d'une télévision à écran plat et d'une salle de bains privative pourvue d'une douche. Une connexion Wi-Fi gratuite est disponible dans l'ensemble de l'établissement."", 'Une bagagerie est à votre disposition sur place.', ""Le Pont d'Avignon se trouve à 1 km de l'Hôtel Boquier. L'aéroport le plus proche, celui d'Avignon-Provence, est installé à 9 km. "", ""\nC'est le quartier préféré des voyageurs visitant Avignon, selon les commentaires clients indépendants.\n"", ""\nLes couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de "", ' pour un séjour à deux.\n', '\n', '\n']",<200 https://www.booking.com/hotel/fr/boquier.fr.html?label=gen173nr-1FCAMoTUIHYXZpZ25vbkgNWARoFYgBAZgBDbgBGMgBDNgBAegBAfgBAogCAagCBLgC16aNlAbAAgHSAiRlMTQxMjQzMi02NWNmLTQ2NGYtOWNlNS04Mjc0ZDg2ZjJlNjHYAgXgAgE&sid=ef4c1fc0086d64b80e070d87330090f5>,0
3,Garlande Hôtel Avignon Centre,"8,9","43.94761833,4.80680354","[""Vous pouvez bénéficier d'une réduction Genius dans l'établissement Garlande Hôtel Avignon Centre\xa0! "", ' pour économiser.', 'Doté d’une connexion Wi-Fi gratuite, le Garlande Hôtel Avignon Centre propose des hébergements installés sur une rue piétonne d’Avignon, à 500 mètres du palais des papes et à 900 mètres du pont de la ville.', 'Toutes les chambres incluent une télévision à écran plat ainsi qu’une baignoire ou une douche. Certains hébergements sont pourvus d’un coin salon, où vous pourrez vous détendre.', 'Moyennant des frais supplémentaires, l’établissement sert un petit-déjeuner. Sur réservation 24 heures à l’avance, vous pourrez savourer un dîner du lundi au jeudi.', ""L’établissement se situe à 10 minutes à pied de la gare d'Avignon-Centre et à 20 minutes de route de l’aéroport d'Avignon-Provence. "", ""\nC'est le quartier préféré des voyageurs visitant Avignon, selon les commentaires clients indépendants.\n"", ""\nLes couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de "", ' pour un séjour à deux.\n', '\n', '\n']",<200 https://www.booking.com/hotel/fr/de-garlande.fr.html?label=gen173nr-1FCAMoTUIHYXZpZ25vbkgNWARoFYgBAZgBDbgBGMgBDNgBAegBAfgBAogCAagCBLgC16aNlAbAAgHSAiRlMTQxMjQzMi02NWNmLTQ2NGYtOWNlNS04Mjc0ZDg2ZjJlNjHYAgXgAgE&sid=ef4c1fc0086d64b80e070d87330090f5>,0
4,La Mirande,"8,9","43.95007660,4.80770677","[""Vous pouvez bénéficier d'une réduction Genius dans l'établissement La Mirande\xa0! "", ' pour économiser.', ""L'établissement La Mirande, datant de 1309, est un hôtel situé dans le centre-ville d'Avignon. Il propose des chambres de style XVIIIe siècle avec des fenêtres anciennes donnant sur le palais des papes. Vous bénéficierez d'une connexion Wi-Fi gratuite et d'un parking privé."", ""Climatisées et insonorisées, les chambres présentent une tapisserie différente, un parquet en bois de chêne et des rideaux bordés de soie. Toutes les chambres disposent d'une salle de bains privative en marbre avec baignoire et certaines offrent une vue sur le Palais des Papes. D'autres possèdent également une douche."", ""Le matin, vous aurez le choix entre un petit-déjeuner continental ou américain servi au restaurant de l'hôtel ou dans l'intimité de la chambre. Lors de votre séjour, vous pourrez déguster une cuisine gastronomique dans le restaurant principal ou vous détendre en prenant un verre au bar de l'hôtel le soir. Vous accéderez à la table du chef, la Table Haute, pour le dîner, sur réservation et certains soirs seulement. Des cours de cuisine sont également dispensés sur place."", 'Vous trouverez également une boutique de souvenirs proposant des produits locaux, du linge de maison, des articles de décoration, de la vaisselle en porcelaine et des sacs à main.', ""La Mirande est à 65,6 km de l'aéroport Marseille-Provence et un service de navette est disponible. Le musée Calvet se trouve à 300 mètres. Un service de voiturier est également assuré. "", ""\nC'est le quartier préféré des voyageurs visitant Avignon, selon les commentaires clients indépendants.\n"", ""\nLes couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de "", ' pour un séjour à deux.\n', '\n', '\n']",<200 https://www.booking.com/hotel/fr/la-mirande.fr.html?label=gen173nr-1FCAMoTUIHYXZpZ25vbkgNWARoFYgBAZgBDbgBGMgBDNgBAegBAfgBAogCAagCBLgC16aNlAbAAgHSAiRlMTQxMjQzMi02NWNmLTQ2NGYtOWNlNS04Mjc0ZDg2ZjJlNjHYAgXgAgE&sid=ef4c1fc0086d64b80e070d87330090f5>,0
5,Campanile Avignon Sud - Montfavet la Cristole,"7,2","43.92592594,4.85080719","[""Vous pouvez bénéficier d'une réduction Genius dans l'établissement Campanile Avignon Sud - Montfavet la Cristole\xa0! "", ' pour économiser.', ""Le Campanile Avignon Sud - Montfavet la Cristole est idéalement situé à Montfavet, à 4 km de la vieille ville d'Avignon. Cet établissement propose un accueil chaleureux, une connexion Wi-Fi gratuite et des hébergements confortables."", ""Célèbre pour son environnement naturel soigneusement préservé, son magnifique climat ensoleillé et ses pierres chargées d'histoire, le Vaucluse est le véritable cœur de la Provence."", ""Les chambres du Campanile Avignon Sud - Montfavet la Cristole sont directement accessibles depuis l'extérieur. Présentant un style contemporain et un espace de vie confortable, elles comprennent toutes la climatisation, une télévision et une salle de bains privative moderne."", ""Le Cristole bénéficie d'un emplacement idéal pour découvrir cette ville fascinante et profiter de l'atmosphère unique de la région. Enfin, les responsables et le personnel du Campanile Avignon Sud - Montfavet la Cristole se dévoueront à rendre votre séjour à la fois agréable et mémorable. "", '\n', '\nChaîne hôtelière/marque:\nCampanile\n']",<200 https://www.booking.com/hotel/fr/campanile-avignon-sud-montfavet.fr.html?label=gen173nr-1FCAMoTUIHYXZpZ25vbkgNWARoFYgBAZgBDbgBGMgBDNgBAegBAfgBAogCAagCBLgC16aNlAbAAgHSAiRlMTQxMjQzMi02NWNmLTQ2NGYtOWNlNS04Mjc0ZDg2ZjJlNjHYAgXgAgE&sid=ef4c1fc0086d64b80e070d87330090f5>,0
6,hotelF1 Avignon Centre Courtine gare TGV,"6,6","43.92903200,4.78818900","[""L'hotelF1 Avignon Centre Courtine gare TGV se trouve à Avignon, à 2,9 km du palais des Papes et à 3 km du pont d'Avignon."", 'Chaque chambre comprend une télévision à écran plat et donne accès à une salle de bains commune. Vous pourrez acheter des serviettes en microfibre sur place, moyennant 3 EUR pièce.', ""Vous séjournerez à 800 mètres du Parc d'activités d'Avignon Courtine et à 1,5 km de l'École Supérieure d'Art ESAA. Enfin, l'aéroport d'Avignon-Provence, le plus proche, se trouve à 9 km de l'hotelF1 Avignon Centre Courtine gare TGV. "", '\n', '\nChaîne hôtelière/marque:\nhotelF1\n']",<200 https://www.booking.com/hotel/fr/hotelf1-avignon-centre-courtine-gare-tgv.fr.html?label=gen173nr-1FCAMoTUIHYXZpZ25vbkgNWARoFYgBAZgBDbgBGMgBDNgBAegBAfgBAogCAagCBLgC16aNlAbAAgHSAiRlMTQxMjQzMi02NWNmLTQ2NGYtOWNlNS04Mjc0ZDg2ZjJlNjHYAgXgAgE&sid=ef4c1fc0086d64b80e070d87330090f5>,0
7,Au Saint Roch - Hôtel et Jardin,"8,1","43.94290138,4.79804277","[""Vous pouvez bénéficier d'une réduction Genius dans l'établissement Au Saint Roch - Hôtel et Jardin\xa0! "", ' pour économiser.', ""Doté d'une terrasse bien exposée ainsi que d’une cour avec un jardin et une fontaine, l'établissement Au Saint Roch - Hôtel et Jardin propose des hébergements à Avignon, en Provence-Alpes-Côte d'Azur, à respectivement 10 et 15 minutes de marche de la gare et du Palais des papes. Un parking privé est disponible sur demande et moyennant des frais supplémentaires. Vous trouverez également un parking public à proximité."", 'Offrant une vue sur le jardin, toutes les chambres sont climatisées et disposent d’une terrasse, d’une télévision par satellite à écran plat ainsi que d’un ventilateur. Leur salle de bains privative est pourvue d’une baignoire, d’un sèche-cheveux et d’articles de toilette gratuits. Une connexion Wi-Fi est disponible gratuitement dans l’ensemble de l’établissement.', 'Un petit-déjeuner buffet peut être servi moyennant un supplément.', 'Le Saint Roch Hotel Jardin se trouve à 3,3 km du pont d’Avignon. L’aéroport le plus proche, celui d’Avignon-Provence, est situé à 10 km. ', ""\nC'est le quartier préféré des voyageurs visitant Avignon, selon les commentaires clients indépendants.\n"", ""\nLes couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de "", ' pour un séjour à deux.\n', '\n', '\n']",<200 https://www.booking.com/hotel/fr/au-saint-roch-et-jardin.fr.html?label=gen173nr-1FCAMoTUIHYXZpZ25vbkgNWARoFYgBAZgBDbgBGMgBDNgBAegBAfgBAogCAagCBLgC16aNlAbAAgHSAiRlMTQxMjQzMi02NWNmLTQ2NGYtOWNlNS04Mjc0ZDg2ZjJlNjHYAgXgAgE&sid=ef4c1fc0086d64b80e070d87330090f5>,0
8,Hôtel Le Colbert,"8,8","43.94411137,4.80579557","[""L'Hôtel Le Colbert est idéalement situé dans le centre-ville d'Avignon, à 1 km du palais des Papes, à 2,3 km du pont d'Avignon et à 600 mètres de l'hôtel de ville. Doté d'un jardin, cet hôtel 2 étoiles propose des chambres climatisées avec salle de bains privative. Vous séjournerez à 3,7 km de la médiathèque Ceccano et à 3,9 km du parc d'affaires d'Avignon."", ""Les chambres comprennent une armoire. Elles sont équipées d'un bureau et d'une télévision à écran plat."", 'Une terrasse et un service de location de vélos sont disponibles sur place.', ""Vous séjournerez à proximité de la CCI du Vaucluse, de l'université d'Avignon et du tribunal de première instance d'Avignon. L'aéroport d'Avignon-Provence, le plus proche, est implanté à 10 km. "", ""\nC'est le quartier préféré des voyageurs visitant Avignon, selon les commentaires clients indépendants.\n"", ""\nLes couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de "", ' pour un séjour à deux.\n', '\n', '\n']",<200 https://www.booking.com/hotel/fr/le-colbert-avignon.fr.html?label=gen173nr-1FCAMoTUIHYXZpZ25vbkgNWARoFYgBAZgBDbgBGMgBDNgBAegBAfgBAogCAagCBLgC16aNlAbAAgHSAiRlMTQxMjQzMi02NWNmLTQ2NGYtOWNlNS04Mjc0ZDg2ZjJlNjHYAgXgAgE&sid=ef4c1fc0086d64b80e070d87330090f5>,0
9,Hôtel-Restaurant Kyriad Cap Sud,"8,0","43.92744820,4.84788895","[""Vous pouvez bénéficier d'une réduction Genius dans l'établissement Hôtel-Restaurant Kyriad Cap Sud\xa0! "", ' pour économiser.', ""Cet appartement est situé à 4 km du centre-ville d'Avignon avec un balcon. Accès direct à l'autoroute A7 et un service de bus de la ville, l'hôtel Hôtel-Restaurant Kyriad Cap Sud dispose d'un restaurant sur place et d'une connexion Connexion Wi-Fi (fibre) Gratuit dans tout l'établissement."", ""L'Hôtel-Restaurant Sud vous propose des chambres modernes, une salle de bains privative (douche italienne)et d'une télévision à écran plat FRANCE"", ""Un petit-déjeuner buffet américain  est service à l'hôtel et le restaurant est ouvert du lundi au Hébergement pour - le dîner de 19h00 à 21h30\n"", '- le week-end au restaurant « made in Tapas » est disponible', ""Le palais des papes célèbre d'Avignon et la cathédrale Romane Notre-Dame\n"", ""des Doms, du XIIe siècle, à proximité. Le centre commercial Cap Sud est à 800 mètres et le parc des expositions est à 4 km de l'établissement. Vous trouverez l'aire de jeux Agropark Avignon à 5 km. "", '\n', '\nChaîne hôtelière/marque:\nKyriad Hotel\n']",<200 https://www.booking.com/hotel/fr/kyriad-avignon-cap-sud.fr.html?label=gen173nr-1FCAMoTUIHYXZpZ25vbkgNWARoFYgBAZgBDbgBGMgBDNgBAegBAfgBAogCAagCBLgC16aNlAbAAgHSAiRlMTQxMjQzMi02NWNmLTQ2NGYtOWNlNS04Mjc0ZDg2ZjJlNjHYAgXgAgE&sid=ef4c1fc0086d64b80e070d87330090f5>,0
